1;3;6;19;45;6;10;
3;10;14;44;50;4;11;
17;18;31;32;33;10;11;
20;22;31;38;44;5;10;
11;18;25;34;45;2;10;
12;18;33;37;46;4;9;
14;25;31;35;36;6;7;
2;11;19;31;40;4;7;
40;42;44;46;49;7;10;
2;11;20;38;48;4;5;
21;33;36;43;45;2;4;
1;18;27;33;35;10;11;
5;31;41;47;49;1;10;
20;24;29;48;49;5;10;
9;18;19;22;37;6;9;
6;28;35;36;44;1;6;
3;6;37;38;39;4;11;
11;24;26;29;44;1;2;
25;27;36;40;47;4;12;
19;22;42;43;49;5;8;
7;14;27;30;32;1;6;
18;31;38;39;48;8;9;
8;13;22;24;29;3;7;
7;8;14;21;31;8;10;
12;15;44;46;49;4;12;
5;6;7;25;29;2;10;
12;17;30;44;45;1;10;
2;10;16;32;33;2;3;
19;23;36;42;44;7;8;
11;14;25;32;41;4;11;
14;18;26;47;49;3;7;
13;14;18;26;48;4;5;
4;8;14;16;49;2;3;
2;8;29;31;47;8;9;
2;3;10;32;36;1;10;
5;16;26;29;33;2;12;
11;29;32;33;35;8;10;
6;10;33;44;50;2;3;
8;19;26;34;36;5;10;
13;32;38;40;50;5;6;
11;12;20;31;45;4;8;
3;5;15;16;26;9;10;
1;7;9;34;40;5;7;
9;13;26;43;47;3;6;
6;26;40;45;50;7;12;
3;8;25;34;42;4;6;
5;7;9;39;49;3;10;
3;15;25;27;30;1;6;
19;21;35;41;43;2;4;
14;25;26;29;33;7;9;
1;15;28;36;48;9;11;
1;15;20;32;37;3;11;
6;12;14;47;48;7;8;
5;23;32;44;45;9;10;
5;7;17;38;50;1;6;
4;9;21;44;48;3;7;
3;9;11;15;42;5;10;
6;20;34;42;43;3;8;
3;17;22;25;27;1;8;
19;23;25;44;48;5;7;
17;21;39;41;49;2;9;
16;25;28;40;49;4;8;
4;11;24;35;42;7;8;
19;28;30;31;45;2;11;
3;4;11;40;45;3;12;
6;19;25;37;40;5;12;
3;33;39;44;46;5;9;
6;22;25;34;41;7;12;
